categoria,mob,n_risco,eventos,censuras,S,S_lo,S_hi
13,10,1146730,156007,63740,0.3204194032660634,0.31994504023430875,0.320893766297818
13,11,926983,145351,43434,0.2701776181587576,0.26971260151306525,0.27064263480445
13,12,738198,188784,549414,0.2010834029665153,0.20064512803887294,0.20152167789415767
14,0,3516968,0,0,1.0,1.0,1.0
14,1,3516968,403805,291300,0.8851837719308222,0.8848505832627872,0.8855169605988572
14,2,2821863,337705,127794,0.7792498602916326,0.778804424425012,0.7796952961582532
14,3,2356364,317823,106962,0.6741457556849302,0.6736319311731807,0.6746595801966797
14,4,1931579,234932,83645,0.5921514853627885,0.5916035231446707,0.5926994475809063
14,5,1613002,238210,72800,0.5047018694737383,0.5041333263522898,0.5052704125951868
14,6,1301992,195415,55696,0.4289515454907871,0.4283776414581218,0.42952544952345245
14,7,1050881,182580,53504,0.3544255304846086,0.353858592523139,0.35499246844607824
14,8,814797,152520,48296,0.28808142034488976,0.28753145562761023,0.2886313850621693
14,9,613981,133105,40088,0.22562822154068157,0.2251050562583765,0.22615138682298663
14,10,440788,117451,35144,0.16550802714297885,0.16502429629060694,0.16599175799535076
14,11,288193,106984,26001,0.10406756614682541,0.10364596958753078,0.10448916270612005
14,12,155208,94516,60692,0.040694221461413896,0.04039254190403607,0.04099590101879172
