arquivo,pop,mob,evento,n
2022/NORTE.parquet,privado,11,1,22
2022/NORTE.parquet,privado,12,0,38231
2022/NORTE.parquet,privado,12,1,47
2022/SP.parquet,geral,1,0,75483
2022/SP.parquet,geral,1,1,2887
2022/SP.parquet,geral,2,0,60938
2022/SP.parquet,geral,2,1,2592
2022/SP.parquet,geral,3,0,57198
2022/SP.parquet,geral,3,1,1685
2022/SP.parquet,geral,4,0,46599
2022/SP.parquet,geral,4,1,1282
2022/SP.parquet,geral,5,0,61502
2022/SP.parquet,geral,5,1,1425
2022/SP.parquet,geral,6,0,50249
2022/SP.parquet,geral,6,1,1872
2022/SP.parquet,geral,7,0,47775
2022/SP.parquet,geral,7,1,1628
2022/SP.parquet,geral,8,0,47402
2022/SP.parquet,geral,8,1,1337
2022/SP.parquet,geral,9,0,44428
2022/SP.parquet,geral,9,1,893
2022/SP.parquet,geral,10,0,32882
2022/SP.parquet,geral,10,1,873
2022/SP.parquet,geral,11,0,43211
2022/SP.parquet,geral,11,1,693
2022/SP.parquet,geral,12,0,1713271
2022/SP.parquet,geral,12,1,3071
2022/SP.parquet,privado,1,0,52741
2022/SP.parquet,privado,1,1,2415
2022/SP.parquet,privado,2,0,51280
2022/SP.parquet,privado,2,1,1438
2022/SP.parquet,privado,3,0,49028
2022/SP.parquet,privado,3,1,1045
2022/SP.parquet,privado,4,0,38566
2022/SP.parquet,privado,4,1,715
2022/SP.parquet,privado,5,0,53094
2022/SP.parquet,privado,5,1,859
2022/SP.parquet,privado,6,0,41979
2022/SP.parquet,privado,6,1,847
2022/SP.parquet,privado,7,0,39594
2022/SP.parquet,privado,7,1,727
2022/SP.parquet,privado,8,0,38843
2022/SP.parquet,privado,8,1,634
2022/SP.parquet,privado,9,0,37518
2022/SP.parquet,privado,9,1,471
2022/SP.parquet,privado,10,0,26650
2022/SP.parquet,privado,10,1,427
2022/SP.parquet,privado,11,0,35932
2022/SP.parquet,privado,11,1,403
2022/SP.parquet,privado,12,0,347515
2022/SP.parquet,privado,12,1,759
2022/SUL.parquet,geral,1,0,16530
2022/SUL.parquet,geral,1,1,601
2022/SUL.parquet,geral,2,0,24208
2022/SUL.parquet,geral,2,1,1215
2022/SUL.parquet,geral,3,0,23515
2022/SUL.parquet,geral,3,1,930
2022/SUL.parquet,geral,4,0,23097
2022/SUL.parquet,geral,4,1,744
2022/SUL.parquet,geral,5,0,35686
2022/SUL.parquet,geral,5,1,1160
2022/SUL.parquet,geral,6,0,26660
2022/SUL.parquet,geral,6,1,724
2022/SUL.parquet,geral,7,0,23831
2022/SUL.parquet,geral,7,1,834
2022/SUL.parquet,geral,8,0,23418
2022/SUL.parquet,geral,8,1,798
2022/SUL.parquet,geral,9,0,23278
2022/SUL.parquet,geral,9,1,748
2022/SUL.parquet,geral,10,0,22217
2022/SUL.parquet,geral,10,1,712
2022/SUL.parquet,geral,11,0,27925
2022/SUL.parquet,geral,11,1,532
2022/SUL.parquet,geral,12,0,1178510
2022/SUL.parquet,geral,12,1,939
2022/SUL.parquet,privado,1,0,13662
2022/SUL.parquet,privado,1,1,288
2022/SUL.parquet,privado,2,0,19011
2022/SUL.parquet,privado,2,1,570
2022/SUL.parquet,privado,3,0,18889
2022/SUL.parquet,privado,3,1,510
2022/SUL.parquet,privado,4,0,19199
2022/SUL.parquet,privado,4,1,305
2022/SUL.parquet,privado,5,0,27129
2022/SUL.parquet,privado,5,1,368
2022/SUL.parquet,privado,6,0,22091
2022/SUL.parquet,privado,6,1,360
2022/SUL.parquet,privado,7,0,19771
2022/SUL.parquet,privado,7,1,298
2022/SUL.parquet,privado,8,0,19110
2022/SUL.parquet,privado,8,1,288
2022/SUL.parquet,privado,9,0,19538
2022/SUL.parquet,privado,9,1,218
2022/SUL.parquet,privado,10,0,18747
2022/SUL.parquet,privado,10,1,215
